,created_at,pos,neg
53,2017-06-18T21:52:26Z,0,1
54,2017-06-18T21:51:39Z,1,0
55,2017-06-18T21:28:25Z,1,0
56,2017-06-18T21:07:12Z,0,1
57,2017-06-18T11:02:04Z,1,0
58,2017-06-18T10:46:35Z,1,0
59,2017-06-18T10:38:51Z,1,0
60,2017-06-17T14:08:48Z,1,0
61,2017-06-17T01:31:01Z,1,0
62,2017-06-17T01:30:08Z,1,0
63,2017-06-16T22:32:20Z,0,1
64,2017-06-16T22:18:54Z,0,1
65,2017-06-16T15:12:27Z,0,1
66,2017-06-16T13:07:55Z,1,0
67,2017-06-16T12:54:22Z,1,0
68,2017-06-16T12:23:08Z,1,0
69,2017-06-16T11:53:56Z,1,0
70,2017-06-15T23:49:24Z,1,0
71,2017-06-15T21:43:14Z,1,0
72,2017-06-15T19:56:01Z,1,0
73,2017-06-15T19:43:31Z,1,0
74,2017-06-15T11:57:57Z,1,0
75,2017-06-15T10:55:37Z,1,0
76,2017-06-15T01:41:45Z,1,0
77,2017-06-14T14:07:31Z,1,0
78,2017-06-14T12:48:26Z,1,0
79,2017-06-14T02:53:45Z,1,0
80,2017-06-14T02:50:17Z,1,0
81,2017-06-13T23:18:19Z,1,0
82,2017-06-13T20:41:37Z,1,0
83,2017-06-13T13:56:20Z,0,1
84,2017-06-13T13:29:59Z,1,0
85,2017-06-13T12:48:44Z,0,1
86,2017-06-13T12:45:11Z,1,0
87,2017-06-13T12:07:36Z,1,0
88,2017-06-13T10:44:16Z,1,0
89,2017-06-13T10:35:55Z,1,0
90,2017-06-13T00:09:54Z,1,0
91,2017-06-12T21:10:10Z,1,0
92,2017-06-12T17:59:27Z,0,1
93,2017-06-12T16:58:25Z,1,0
94,2017-06-12T10:55:27Z,0,1
95,2017-06-12T02:14:29Z,1,0
96,2017-06-12T02:09:10Z,0,1
97,2017-06-12T02:07:30Z,1,0
98,2017-06-12T02:02:23Z,1,0
99,2017-06-11T12:49:00Z,0,1
100,2017-06-11T12:29:46Z,1,0
101,2017-06-11T12:23:01Z,1,0
102,2017-06-11T12:22:20Z,1,0
103,2017-06-10T20:52:00Z,1,0
104,2017-06-10T01:38:15Z,1,0
105,2017-06-09T22:52:23Z,1,0
106,2017-06-09T18:48:54Z,1,0
107,2017-06-09T18:28:41Z,1,0
108,2017-06-09T14:22:00Z,1,0
109,2017-06-09T14:10:33Z,1,0
110,2017-06-09T10:54:43Z,1,0
111,2017-06-09T10:10:37Z,1,0
112,2017-06-07T12:17:13Z,1,0
113,2017-06-07T11:44:37Z,1,0
114,2017-06-07T01:07:39Z,0,1
115,2017-06-07T00:44:56Z,0,1
116,2017-06-07T00:06:50Z,1,0
117,2017-06-06T17:47:33Z,1,0
118,2017-06-06T13:44:55Z,0,1
119,2017-06-06T13:36:50Z,1,0
120,2017-06-06T12:15:36Z,0,1
121,2017-06-06T12:06:35Z,1,0
122,2017-06-06T11:58:00Z,1,0
123,2017-06-06T10:51:39Z,1,0
124,2017-06-06T10:43:17Z,1,0
125,2017-06-06T10:41:25Z,1,0
126,2017-06-06T01:20:17Z,1,0
127,2017-06-05T21:25:16Z,1,0
128,2017-06-05T20:45:05Z,1,0
129,2017-06-05T13:49:56Z,0,1
130,2017-06-05T13:35:00Z,1,0
131,2017-06-05T10:44:18Z,1,0
132,2017-06-05T10:37:59Z,0,1
133,2017-06-05T10:29:08Z,0,1
134,2017-06-05T10:25:02Z,1,0
135,2017-06-04T11:43:30Z,0,1
136,2017-06-04T11:31:00Z,0,1
137,2017-06-04T11:19:47Z,1,0
138,2017-06-03T23:24:45Z,0,1
139,2017-06-03T23:17:13Z,1,0
140,2017-06-03T23:01:54Z,0,1
141,2017-06-03T19:35:33Z,1,0
142,2017-06-02T18:30:41Z,1,0
143,2017-06-02T10:40:22Z,0,1
144,2017-06-02T10:35:32Z,0,1
145,2017-06-02T10:34:42Z,1,0
146,2017-06-02T10:33:37Z,1,0
147,2017-06-02T10:32:39Z,1,0
148,2017-06-02T10:32:10Z,0,1
149,2017-06-02T10:31:03Z,1,0
150,2017-06-02T10:08:24Z,1,0
151,2017-06-02T01:00:35Z,0,1
152,2017-06-01T22:50:29Z,1,0
153,2017-06-01T19:03:10Z,0,1
154,2017-06-01T11:05:21Z,0,1
155,2017-06-01T01:05:17Z,0,1
156,2017-06-01T00:40:01Z,0,1
157,2017-05-31T21:52:54Z,1,0
158,2017-05-31T20:04:45Z,1,0
159,2017-05-31T13:08:41Z,0,1
160,2017-05-31T13:05:14Z,0,1
161,2017-05-31T11:14:48Z,0,1
162,2017-05-31T10:45:27Z,1,0
163,2017-05-31T10:37:42Z,1,0
164,2017-05-31T10:09:22Z,0,1
165,2017-05-30T14:01:16Z,1,0
166,2017-05-30T14:00:50Z,1,0
167,2017-05-30T13:59:28Z,0,1
168,2017-05-30T11:04:48Z,0,1
169,2017-05-30T10:40:36Z,0,1
170,2017-05-29T12:36:37Z,1,0
171,2017-05-29T12:35:34Z,1,0
172,2017-05-29T12:18:52Z,0,1
173,2017-05-29T12:11:59Z,1,0
174,2017-05-29T00:20:11Z,1,0
175,2017-05-29T00:07:01Z,1,0
176,2017-05-28T23:57:19Z,0,1
177,2017-05-28T14:43:53Z,1,0
178,2017-05-28T12:45:45Z,0,1
179,2017-05-28T12:45:16Z,0,1
180,2017-05-28T12:34:44Z,0,1
181,2017-05-28T12:33:03Z,1,0
182,2017-05-28T12:10:43Z,1,0
183,2017-05-28T12:02:05Z,0,1
184,2017-05-27T17:19:37Z,0,1
185,2017-05-27T16:22:01Z,1,0
186,2017-05-27T16:17:30Z,1,0
187,2017-05-27T16:16:47Z,1,0
188,2017-05-27T12:17:51Z,0,1
189,2017-05-27T10:03:12Z,1,0
190,2017-05-27T09:58:37Z,1,0
191,2017-05-26T20:39:51Z,1,0
192,2017-05-26T20:26:55Z,1,0
193,2017-05-26T10:14:12Z,1,0
194,2017-05-26T10:13:41Z,0,1
195,2017-05-25T22:44:57Z,1,0
196,2017-05-25T20:06:09Z,1,0
197,2017-05-25T17:54:17Z,1,0
198,2017-05-25T14:33:51Z,1,0
199,2017-05-24T20:11:18Z,1,0
200,2017-05-24T20:11:18Z,1,0
201,2017-05-24T12:20:07Z,1,0
202,2017-05-23T15:58:37Z,1,0
203,2017-05-23T15:47:21Z,1,0
204,2017-05-23T15:43:16Z,1,0
205,2017-05-23T12:04:48Z,1,0
206,2017-05-22T20:14:46Z,1,0
207,2017-05-22T13:13:48Z,0,1
208,2017-05-21T21:51:53Z,1,0
209,2017-05-21T16:47:25Z,0,1
210,2017-05-21T11:15:30Z,1,0
211,2017-05-20T15:50:29Z,1,0
212,2017-05-20T09:44:31Z,1,0
213,2017-05-19T22:16:06Z,1,0
214,2017-05-19T14:24:08Z,1,0
215,2017-05-19T02:03:58Z,0,1
216,2017-05-18T22:45:15Z,1,0
217,2017-05-18T14:07:06Z,0,1
218,2017-05-18T11:52:14Z,1,0
219,2017-05-17T20:36:02Z,0,1
220,2017-05-16T19:38:42Z,1,0
221,2017-05-16T16:02:17Z,1,0
222,2017-05-16T12:10:29Z,0,1
223,2017-05-16T11:13:00Z,1,0
224,2017-05-16T11:03:36Z,1,0
225,2017-05-16T01:47:43Z,0,1
226,2017-05-15T19:54:09Z,1,0
227,2017-05-14T15:13:45Z,1,0
228,2017-05-13T18:57:33Z,0,1
229,2017-05-13T17:54:31Z,0,1
230,2017-05-13T00:47:58Z,1,0
231,2017-05-12T21:16:56Z,1,0
232,2017-05-12T21:09:32Z,1,0
233,2017-05-12T13:20:04Z,0,1
234,2017-05-12T12:54:54Z,0,1
235,2017-05-12T12:26:15Z,0,1
236,2017-05-12T12:07:36Z,1,0
237,2017-05-12T11:59:00Z,1,0
238,2017-05-12T11:53:48Z,1,0
239,2017-05-12T11:51:56Z,0,1
240,2017-05-11T21:54:24Z,1,0
241,2017-05-11T20:34:25Z,1,0
242,2017-05-11T19:55:34Z,1,0
243,2017-05-11T19:35:22Z,0,1
244,2017-05-11T19:34:00Z,0,1
245,2017-05-11T00:14:58Z,0,1
246,2017-05-10T19:23:52Z,1,0
247,2017-05-10T12:57:16Z,1,0
248,2017-05-10T12:39:59Z,1,0
249,2017-05-10T12:30:51Z,1,0
250,2017-05-10T12:24:32Z,1,0
251,2017-05-10T11:28:38Z,0,1
252,2017-05-10T11:27:13Z,1,0
253,2017-05-10T11:21:02Z,1,0
254,2017-05-10T11:19:04Z,1,0
255,2017-05-10T11:10:48Z,0,1
256,2017-05-10T02:42:52Z,1,0
257,2017-05-09T21:38:51Z,1,0
258,2017-05-09T17:19:16Z,0,1
259,2017-05-08T22:50:45Z,0,1
260,2017-05-08T22:46:00Z,1,0
261,2017-05-08T22:43:39Z,1,0
262,2017-05-08T22:41:12Z,0,1
263,2017-05-08T17:42:32Z,1,0
264,2017-05-08T14:43:35Z,1,0
265,2017-05-08T11:57:42Z,1,0
266,2017-05-08T11:32:24Z,1,0
267,2017-05-08T11:23:05Z,1,0
268,2017-05-07T22:58:47Z,1,0
269,2017-05-07T19:22:17Z,1,0
270,2017-05-07T12:49:39Z,1,0
271,2017-05-07T11:37:35Z,0,1
272,2017-05-07T11:17:59Z,1,0
273,2017-05-07T11:15:26Z,0,1
274,2017-05-06T22:39:42Z,1,0
275,2017-05-05T23:34:36Z,1,0
276,2017-05-05T23:29:45Z,1,0
277,2017-05-05T23:22:22Z,1,0
278,2017-05-05T19:43:37Z,1,0
279,2017-05-05T19:32:08Z,0,1
280,2017-05-05T19:13:54Z,0,1
281,2017-05-05T13:02:46Z,0,1
282,2017-05-05T12:52:36Z,1,0
283,2017-05-05T06:16:06Z,0,1
284,2017-05-05T02:55:02Z,0,1
285,2017-05-04T18:07:29Z,1,0
286,2017-05-04T17:56:51Z,1,0
287,2017-05-04T17:43:11Z,0,1
288,2017-05-04T15:26:00Z,1,0
289,2017-05-04T12:28:39Z,0,1
290,2017-05-04T11:09:26Z,1,0
291,2017-05-04T11:07:35Z,0,1
292,2017-05-04T11:02:54Z,1,0
293,2017-05-04T10:49:10Z,1,0
294,2017-05-04T10:40:33Z,1,0
295,2017-05-03T20:57:56Z,1,0
296,2017-05-03T03:06:16Z,0,1
297,2017-05-03T02:51:07Z,1,0
298,2017-05-02T21:08:14Z,1,0
299,2017-05-02T13:07:10Z,0,1
300,2017-05-02T13:01:41Z,0,1
301,2017-05-02T00:55:54Z,1,0
302,2017-05-01T20:30:42Z,1,0
303,2017-05-01T19:29:41Z,1,0
304,2017-04-30T12:32:50Z,1,0
305,2017-04-30T12:28:04Z,0,1
306,2017-04-30T12:09:04Z,1,0
307,2017-04-30T12:05:31Z,1,0
308,2017-04-30T11:33:12Z,0,1
309,2017-04-29T17:42:34Z,1,0
310,2017-04-29T17:39:48Z,1,0
311,2017-04-29T15:35:26Z,0,1
312,2017-04-29T02:40:11Z,1,0
313,2017-04-29T02:34:33Z,0,1
314,2017-04-28T23:26:18Z,1,0
315,2017-04-28T22:31:25Z,0,1
316,2017-04-28T12:15:59Z,1,0
317,2017-04-28T12:12:15Z,1,0
318,2017-04-27T22:43:19Z,0,1
319,2017-04-27T21:42:47Z,0,1
320,2017-04-27T18:59:31Z,1,0
321,2017-04-27T14:39:25Z,1,0
322,2017-04-27T14:39:04Z,1,0
323,2017-04-27T14:38:14Z,1,0
324,2017-04-27T14:37:51Z,1,0
325,2017-04-27T14:37:30Z,0,1
326,2017-04-27T14:37:09Z,1,0
327,2017-04-27T11:30:20Z,0,1
328,2017-04-27T11:21:20Z,0,1
329,2017-04-27T11:12:12Z,0,1
330,2017-04-26T23:06:16Z,1,0
331,2017-04-26T22:27:29Z,1,0
332,2017-04-26T20:49:16Z,0,1
333,2017-04-26T18:10:04Z,0,1
334,2017-04-26T14:53:26Z,0,1
335,2017-04-26T10:51:06Z,1,0
336,2017-04-26T10:38:51Z,0,1
337,2017-04-26T10:30:54Z,1,0
338,2017-04-26T10:20:00Z,0,1
339,2017-04-25T23:32:13Z,0,1
340,2017-04-25T17:51:03Z,1,0
341,2017-04-25T12:36:28Z,0,1
342,2017-04-25T12:30:15Z,1,0
343,2017-04-25T11:23:08Z,1,0
344,2017-04-24T20:32:08Z,0,1
345,2017-04-24T17:18:32Z,0,1
346,2017-04-24T17:11:31Z,1,0
347,2017-04-24T15:31:57Z,1,0
348,2017-04-24T12:28:01Z,1,0
349,2017-04-24T12:15:45Z,1,0
350,2017-04-23T19:55:04Z,1,0
351,2017-04-23T19:48:16Z,1,0
352,2017-04-23T15:44:59Z,0,1
353,2017-04-23T15:42:07Z,0,1
354,2017-04-23T14:20:12Z,0,1
355,2017-04-23T14:07:52Z,0,1
356,2017-04-23T14:05:07Z,1,0
357,2017-04-22T21:49:10Z,1,0
358,2017-04-22T19:01:59Z,1,0
359,2017-04-22T16:15:01Z,1,0
360,2017-04-22T16:10:26Z,1,0
361,2017-04-22T16:05:37Z,1,0
362,2017-04-22T15:18:49Z,1,0
363,2017-04-22T15:18:11Z,1,0
364,2017-04-22T03:38:00Z,0,1
365,2017-04-22T00:43:21Z,0,1
366,2017-04-22T00:19:58Z,1,0
367,2017-04-21T20:22:14Z,0,1
368,2017-04-21T13:04:19Z,1,0
369,2017-04-21T10:50:33Z,0,1
370,2017-04-21T10:32:01Z,1,0
371,2017-04-21T10:11:27Z,1,0
372,2017-04-20T21:35:05Z,1,0
373,2017-04-20T19:33:46Z,1,0
374,2017-04-20T13:48:14Z,1,0
375,2017-04-20T01:34:10Z,1,0
376,2017-04-19T20:26:45Z,0,1
377,2017-04-19T17:31:28Z,1,0
378,2017-04-19T12:43:18Z,0,1
379,2017-04-19T04:09:17Z,1,0
380,2017-04-18T20:56:16Z,1,0
381,2017-04-18T20:38:25Z,1,0
382,2017-04-18T10:46:19Z,1,0
383,2017-04-18T10:38:59Z,1,0
384,2017-04-18T09:48:10Z,0,1
385,2017-04-18T09:39:25Z,1,0
386,2017-04-18T02:18:38Z,1,0
387,2017-04-17T22:41:53Z,1,0
388,2017-04-17T22:38:30Z,0,1
389,2017-04-17T13:35:27Z,0,1
390,2017-04-17T13:31:03Z,1,0
391,2017-04-17T12:17:59Z,1,0
392,2017-04-17T12:13:17Z,1,0
393,2017-04-17T12:07:16Z,1,0
394,2017-04-17T00:45:01Z,1,0
395,2017-04-16T13:41:47Z,1,0
396,2017-04-16T13:13:26Z,1,0
397,2017-04-16T13:07:11Z,0,1
398,2017-04-16T12:24:49Z,0,1
399,2017-04-16T12:18:40Z,0,1
400,2017-04-16T12:18:40Z,0,1
401,2017-04-14T21:46:20Z,1,0
402,2017-04-14T20:41:25Z,1,0
403,2017-04-14T03:18:24Z,0,1
404,2017-04-13T19:21:07Z,1,0
405,2017-04-13T13:16:30Z,1,0
406,2017-04-13T13:08:20Z,1,0
407,2017-04-13T00:32:25Z,1,0
408,2017-04-12T23:10:37Z,0,1
409,2017-04-12T23:09:56Z,1,0
410,2017-04-12T21:48:48Z,1,0
411,2017-04-12T12:37:07Z,1,0
412,2017-04-12T12:22:22Z,1,0
413,2017-04-12T03:16:00Z,0,1
414,2017-04-11T20:27:35Z,1,0
415,2017-04-11T12:59:20Z,1,0
416,2017-04-11T12:03:43Z,0,1
417,2017-04-11T11:59:04Z,0,1
418,2017-04-11T11:48:31Z,0,1
419,2017-04-10T23:56:35Z,1,0
420,2017-04-10T21:59:10Z,1,0
421,2017-04-10T01:35:45Z,0,1
422,2017-04-09T15:21:07Z,1,0
423,2017-04-09T15:20:39Z,1,0
424,2017-04-08T19:58:32Z,1,0
425,2017-04-08T19:00:08Z,0,1
426,2017-04-08T14:54:24Z,1,0
427,2017-04-08T14:51:10Z,1,0
428,2017-04-08T14:50:59Z,1,0
429,2017-04-07T23:22:53Z,1,0
430,2017-04-06T18:30:49Z,1,0
431,2017-04-06T02:12:43Z,0,1
432,2017-04-05T21:18:08Z,1,0
433,2017-04-04T21:03:51Z,1,0
434,2017-04-04T19:38:59Z,1,0
435,2017-04-04T18:38:13Z,1,0
436,2017-04-04T12:39:16Z,0,1
437,2017-04-03T19:39:05Z,1,0
438,2017-04-03T17:56:55Z,0,1
439,2017-04-03T16:00:33Z,1,0
440,2017-04-03T12:51:01Z,0,1
441,2017-04-03T11:21:11Z,1,0
442,2017-04-03T11:16:52Z,0,1
443,2017-04-03T10:15:17Z,1,0
444,2017-04-03T00:58:29Z,1,0
445,2017-04-02T13:34:16Z,0,1
446,2017-04-02T13:03:43Z,1,0
447,2017-04-02T12:56:49Z,1,0
448,2017-04-01T22:21:02Z,1,0
449,2017-04-01T17:02:29Z,1,0
450,2017-04-01T16:50:36Z,1,0
451,2017-04-01T16:06:14Z,1,0
452,2017-04-01T15:59:36Z,1,0
453,2017-04-01T13:02:32Z,1,0
454,2017-04-01T12:43:32Z,0,1
455,2017-03-31T21:31:44Z,1,0
456,2017-03-31T19:37:00Z,0,1
457,2017-03-31T18:30:38Z,1,0
458,2017-03-31T17:45:10Z,1,0
459,2017-03-31T17:28:44Z,1,0
460,2017-03-31T14:35:47Z,1,0
461,2017-03-31T11:04:32Z,1,0
462,2017-03-31T01:43:35Z,1,0
463,2017-03-30T22:16:50Z,1,0
464,2017-03-30T22:16:17Z,1,0
465,2017-03-30T21:21:50Z,0,1
466,2017-03-30T21:20:44Z,1,0
467,2017-03-30T21:17:30Z,0,1
468,2017-03-30T14:27:14Z,1,0
469,2017-03-30T13:07:42Z,0,1
470,2017-03-30T02:12:09Z,1,0
471,2017-03-29T23:58:11Z,1,0
472,2017-03-29T21:39:01Z,1,0
473,2017-03-29T12:21:02Z,1,0
474,2017-03-29T12:01:52Z,1,0
475,2017-03-28T22:41:09Z,1,0
476,2017-03-28T21:48:40Z,0,1
477,2017-03-28T20:57:17Z,1,0
478,2017-03-28T15:26:23Z,0,1
479,2017-03-28T11:16:44Z,0,1
480,2017-03-28T10:36:02Z,0,1
481,2017-03-28T02:03:17Z,1,0
482,2017-03-28T01:41:15Z,1,0
483,2017-03-28T01:35:35Z,1,0
484,2017-03-28T01:26:04Z,1,0
485,2017-03-27T01:04:42Z,1,0
486,2017-03-26T12:21:58Z,0,1
487,2017-03-25T22:37:02Z,1,0
488,2017-03-25T14:41:14Z,1,0
489,2017-03-25T14:37:52Z,1,0
490,2017-03-25T13:29:17Z,0,1
491,2017-03-24T17:59:42Z,1,0
492,2017-03-24T17:03:46Z,1,0
493,2017-03-24T12:23:00Z,1,0
494,2017-03-24T12:14:32Z,0,1
495,2017-03-23T22:19:43Z,1,0
496,2017-03-23T16:07:55Z,1,0
497,2017-03-23T15:16:24Z,1,0
498,2017-03-23T12:18:33Z,1,0
499,2017-03-23T01:33:54Z,1,0
500,2017-03-23T01:04:32Z,1,0
501,2017-03-23T01:03:18Z,0,1
502,2017-03-22T13:09:35Z,0,1
503,2017-03-21T18:12:05Z,1,0
504,2017-03-21T17:33:23Z,1,0
505,2017-03-21T17:02:31Z,0,1
506,2017-03-21T02:18:20Z,0,1
507,2017-03-20T23:03:36Z,0,1
508,2017-03-20T17:15:18Z,0,1
509,2017-03-20T13:14:49Z,1,0
510,2017-03-20T12:35:14Z,1,0
511,2017-03-20T11:02:57Z,0,1
512,2017-03-20T10:49:48Z,0,1
513,2017-03-20T10:35:28Z,0,1
514,2017-03-19T20:20:22Z,0,1
515,2017-03-18T13:23:37Z,1,0
516,2017-03-18T13:15:41Z,1,0
517,2017-03-17T15:39:10Z,0,1
518,2017-03-17T14:07:26Z,0,1
519,2017-03-17T13:07:15Z,0,1
520,2017-03-17T12:34:17Z,0,1
521,2017-03-17T12:30:25Z,0,1
522,2017-03-17T12:26:12Z,1,0
523,2017-03-17T12:20:22Z,1,0
524,2017-03-17T12:12:04Z,1,0
525,2017-03-17T09:35:58Z,0,1
526,2017-03-16T22:43:32Z,1,0
527,2017-03-16T21:54:02Z,1,0
528,2017-03-16T21:43:07Z,0,1
529,2017-03-16T20:09:38Z,1,0
530,2017-03-16T15:52:22Z,1,0
531,2017-03-16T04:20:41Z,0,1
532,2017-03-16T00:03:23Z,0,1
533,2017-03-15T23:25:25Z,0,1
534,2017-03-15T20:55:52Z,0,1
535,2017-03-15T12:14:20Z,0,1
536,2017-03-15T11:29:05Z,1,0
537,2017-03-15T11:13:58Z,1,0
538,2017-03-15T11:02:40Z,0,1
539,2017-03-15T10:55:30Z,0,1
540,2017-03-14T16:12:22Z,1,0
541,2017-03-14T15:00:25Z,0,1
542,2017-03-13T22:54:16Z,1,0
543,2017-03-13T20:57:02Z,1,0
544,2017-03-13T17:20:15Z,1,0
545,2017-03-13T13:11:17Z,0,1
546,2017-03-13T12:52:29Z,1,0
547,2017-03-12T12:36:59Z,1,0
548,2017-03-11T14:39:07Z,1,0
549,2017-03-10T15:40:53Z,0,1
550,2017-03-10T13:45:02Z,0,1
551,2017-03-10T13:32:05Z,0,1
552,2017-03-09T23:11:27Z,1,0
553,2017-03-09T22:36:27Z,1,0
554,2017-03-09T17:01:17Z,1,0
555,2017-03-09T13:13:54Z,0,1
556,2017-03-08T23:54:16Z,0,1
557,2017-03-08T23:50:25Z,1,0
558,2017-03-08T12:11:25Z,0,1
559,2017-03-08T11:13:44Z,1,0
560,2017-03-08T11:12:39Z,1,0
561,2017-03-08T00:14:30Z,1,0
562,2017-03-07T14:14:03Z,1,0
563,2017-03-07T13:46:28Z,1,0
564,2017-03-07T13:41:58Z,1,0
565,2017-03-07T13:13:20Z,0,1
566,2017-03-07T12:13:59Z,0,1
567,2017-03-07T12:04:13Z,1,0
568,2017-03-07T03:50:49Z,1,0
569,2017-03-07T03:49:54Z,0,1
570,2017-03-06T23:49:53Z,1,0
571,2017-03-06T21:22:15Z,0,1
572,2017-03-06T21:19:04Z,1,0
573,2017-03-05T17:30:11Z,1,0
574,2017-03-05T11:40:20Z,1,0
575,2017-03-05T11:32:22Z,1,0
576,2017-03-04T13:19:29Z,0,1
577,2017-03-04T12:02:48Z,1,0
578,2017-03-04T11:52:54Z,1,0
579,2017-03-04T11:49:00Z,1,0
580,2017-03-04T11:42:59Z,1,0
581,2017-03-04T11:35:20Z,0,1
582,2017-03-04T11:26:47Z,1,0
583,2017-03-03T22:13:10Z,0,1
584,2017-03-03T21:02:23Z,0,1
585,2017-03-03T20:48:21Z,1,0
586,2017-03-03T17:54:30Z,0,1
587,2017-03-03T16:41:55Z,0,1
588,2017-03-03T12:19:12Z,0,1
589,2017-03-03T12:00:39Z,1,0
590,2017-03-03T02:38:48Z,0,1
591,2017-03-03T02:35:33Z,1,0
592,2017-03-03T02:27:29Z,0,1
593,2017-03-03T02:22:49Z,1,0
594,2017-03-02T11:00:41Z,0,1
595,2017-03-01T13:38:44Z,0,1
596,2017-03-01T01:42:16Z,1,0
597,2017-03-01T01:30:49Z,0,1
598,2017-02-28T02:43:03Z,0,1
599,2017-02-27T21:48:21Z,1,0
600,2017-02-27T21:48:21Z,1,0
601,2017-02-27T17:06:23Z,1,0
602,2017-02-26T20:13:52Z,1,0
603,2017-02-26T18:16:41Z,1,0
604,2017-02-26T11:42:39Z,1,0
605,2017-02-26T11:33:16Z,0,1
606,2017-02-25T22:02:22Z,1,0
607,2017-02-25T21:53:21Z,1,0
608,2017-02-25T18:12:25Z,0,1
609,2017-02-25T13:27:04Z,1,0
610,2017-02-25T13:19:18Z,1,0
611,2017-02-25T12:25:24Z,0,1
612,2017-02-25T03:09:18Z,1,0
613,2017-02-24T17:04:19Z,0,1
614,2017-02-24T13:49:27Z,0,1
615,2017-02-24T12:36:34Z,1,0
616,2017-02-24T12:31:49Z,1,0
617,2017-02-24T00:06:44Z,1,0
618,2017-02-24T00:01:40Z,1,0
619,2017-02-23T22:53:45Z,1,0
620,2017-02-22T12:50:56Z,1,0
621,2017-02-22T12:20:40Z,1,0
622,2017-02-21T23:23:13Z,1,0
623,2017-02-21T20:46:42Z,0,1
624,2017-02-21T00:38:40Z,1,0
625,2017-02-20T21:00:37Z,1,0
626,2017-02-20T14:33:33Z,0,1
627,2017-02-20T14:15:42Z,1,0
628,2017-02-19T21:57:01Z,1,0
629,2017-02-18T13:51:20Z,0,1
630,2017-02-18T13:31:53Z,0,1
631,2017-02-18T00:02:58Z,1,0
632,2017-02-17T23:15:56Z,1,0
633,2017-02-17T21:48:22Z,0,1
634,2017-02-17T15:34:14Z,0,1
635,2017-02-17T13:16:22Z,1,0
636,2017-02-17T11:43:10Z,1,0
637,2017-02-17T11:38:20Z,0,1
638,2017-02-17T10:13:32Z,1,0
639,2017-02-16T23:44:54Z,1,0
640,2017-02-16T14:39:52Z,0,1
641,2017-02-16T14:10:49Z,1,0
642,2017-02-16T12:02:59Z,1,0
643,2017-02-16T11:58:43Z,0,1
644,2017-02-16T11:34:46Z,1,0
645,2017-02-15T23:59:26Z,1,0
646,2017-02-15T21:34:05Z,0,1
647,2017-02-15T19:45:16Z,1,0
648,2017-02-15T19:17:59Z,0,1
649,2017-02-15T16:34:27Z,1,0
650,2017-02-15T13:13:10Z,1,0
651,2017-02-15T12:42:20Z,0,1
652,2017-02-15T12:28:37Z,0,1
653,2017-02-15T12:19:18Z,0,1
654,2017-02-15T12:08:12Z,1,0
655,2017-02-15T11:40:32Z,1,0
656,2017-02-14T22:50:33Z,0,1
657,2017-02-14T21:48:10Z,1,0
658,2017-02-14T20:21:59Z,1,0
659,2017-02-14T14:28:54Z,1,0
660,2017-02-14T03:30:45Z,1,0
661,2017-02-14T02:57:05Z,0,1
662,2017-02-13T18:50:57Z,1,0
663,2017-02-13T16:59:06Z,0,1
664,2017-02-13T15:53:08Z,1,0
665,2017-02-12T22:19:05Z,1,0
666,2017-02-12T15:41:55Z,1,0
667,2017-02-12T13:23:18Z,1,0
